Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1701,6/22/2022,36th Ave S & S Adams St,T1-KJ-0622,"Pacific NW Swimming Team Backpack with various tools, Colman tent red/blue/grey",,70 Days,8/31/2022,Yes,
1703,6/23/2022,Rotary Viewpoint Park,T1-KQR-0623,"2 prints (art work) one of the world atlas, the other of a turtle.  Sterlite shelving (missing drawer), wicker basket. Small box w/green dress and purple shoes, Red tote bag w/misc tolietry items and small blue tarp still in bag.  Small blue lantern, 2 clocks, 1 red and 1 gold. Yellow handled hammer, black coat and 1 multi colored blanket.",,70 Days,9/1/2022,Yes,
1704,6/23/2022,Sturgus Park,T2-KQR-0623,Black carry on Smasonite luggage,,70 Days,9/1/2022,Yes,
1705,6/27/2022,Cal Anderson Park,Found in debris,"Green bag w/yellow bag inside w/misc items, Black bag w/flowers, Black purse, red radio (all items were inside the green bag). Grey backpack w/green bag inside, black purse, red shoes, large black suitcase w/misc clothes, 5 pairs of brand new black socks",,70 Days,9/5/2022,Yes,
1706,6/28/2022,Denny Park & Denny Playfield,T1-TH-0628,"3 Bibles, Car Registrations, Blue green tent, Green scuba bag, Phone chargers",,70 Days,9/6/2022,Yes,
1707,6/28/2022,Denny Park & Denny Playfield,"T2-TH-0628
[Name Withheld]","4 Clear bins, 1 Gray Bin, DR Who Poster",,70 Days,9/6/2022,Yes,
1708,6/28/2022,Denny Park & Denny Playfield,"T5-TH-0628
[Name Withheld]","Dark blue tarp, light blue tarp",,70 Days,9/6/2022,Yes,
1709,6/29/2022,Fauntleroy Park,T1-KQR-0629,"Green colman tent, 1 pair green Nike shoes, Black grey blanket, multi-colored blanket, Black short sleeve shirt, Green orange pants, 2 sleevless white t shirts",,70 Days,9/7/2022,Yes,
1710,6/30/2022,10th Ave S & S Lane,T3-KQR-0630,"Blue champion shoes, Blue red Tommy Hilgier shoes, White Saucony shoes, Black calf high boots, Black Puma shoes, Green tote bag, Maika Grey with white dots tote bag, Banana fish bag filled with clothing, pair of Grudens yellow pants, Black laptop case, 3 white hags dilled with clothing, Blue white 12 empire hat",,70 Days,9/8/2022,Yes,
1711,7/5/2022,3rd Ave from Cherry to James,T1-KQR-0705,Blue pacific pass tent,,70 Days,9/13/2022,Yes,
1712,7/6/2022,3rd Ave from Cherry to James,T1-KQR-0706,Green colmen propane camp stove - two burners,,70 Days,9/14/2022,Yes,
1713,7/7/2022,16th Ave SW & SW Barton St,T1-KJ-0707,"3-drawer plastic organizer w/personal hygiene, Blue black adidas duffel bag w/personal hygiene, Pink grey backpack adidas w/personal hygiene, 10 bozes of hand sanitizer spray, Black brown basket w/misc clothing, Brown basket w/various shoes, Glower print duffel bag w/misc shoes & clothing, Clear tote bag w/misc cosmetics, personal hygiene/feminine products. Pink duffel pag w/various personal hygiene & office supplies, Brown purse w/personal products, Pick basket w/various articles of clothing & winter boots, Clear bag w/various articles of clothing & 1st aid kit, Haloger power work light, various greeting cards",,70 Days,9/15/2022,Yes,
